route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1209988,20510,OCESN014041F0100118011,"14041",1,,
OCE1209988,20470,OCESN014033F0100117987,"14033",1,,
OCE1209988,20471,OCESN014033F0400417988,"14033",1,,
OCE1209988,20768,OCESN014047F0300318026,"14047",1,,
OCE1209988,20661,OCESN014047F0800818029,"14047",1,,
OCE1209988,20043,OCESN014045F0100118023,"14045",1,,
OCE1209988,20689,OCESN014045F0300318024,"14045",1,,
OCE1209988,20769,OCESN014047F0700718025,"14047",1,,
OCE1209988,17431,OCESN014061F0200218080,"14061",1,,
OCE1209988,20572,OCESN014061F0700718079,"14061",1,,
OCE1209988,20647,OCESN014081F0100118145,"14081",1,,
OCE1209988,20547,OCESN014067F0100118097,"14067",1,,
OCE1209988,30620,OCESN014067F0300318096,"14067",1,,
OCE1209988,30621,OCESN014070F0200218101,"14070",0,,
OCE1209988,30622,OCESN014036F0100117995,"14036",0,,
OCE1209988,30623,OCESN014074F0200218112,"14074",0,,
OCE1209988,30624,OCESN014040F0300318008,"14040",0,,
OCE1209988,30625,OCESN014066F0100118092,"14066",0,,
OCE1209988,30626,OCESN014034F0100117991,"14034",0,,
OCE1209988,20650,OCESN014030F0300317978,"14030",0,,
OCE1209988,20757,OCESN014080F0500518140,"14080",0,,
OCE1209988,20752,OCESN014080F0300318133,"14080",0,,
OCE1209988,30627,OCESN014030F0100117979,"14030",0,,
OCE1209988,9166,OCESN014080F0900918139,"14080",0,,
OCE1209988,30628,OCESN014080F0200218135,"14080",0,,
OCE1209988,20755,OCESN014080F0100118134,"14080",0,,
OCE1209988,16137,OCESN014080F1201218136,"14080",0,,
OCE1209988,20754,OCESN014080F0800818132,"14080",0,,
OCE1209988,30629,OCESN014078F0100118119,"14078",0,,
OCE1209988,30630,OCESN014076F0100118117,"14076",0,,
OCE1209988,12237,OCESN014080F0600618130,"14080",0,,
OCE1209988,30631,OCESN014032F0100117983,"14032",0,,
OCE1209988,20753,OCESN014080F0700718131,"14080",0,,
OCE1209988,20661,OCESN014056F0800818063,"14056",0,,
OCE1209988,30632,OCESN014050F0100118050,"14050",0,,
OCE1209988,20661,OCESN014060F1001018074,"14060",0,,
OCE1209988,30633,OCESN014048F1901918041,"14048",0,,
OCE1209988,18266,OCESN014056F0200218065,"14056",0,,
OCE1209988,18266,OCESN014060F0100118072,"14060",0,,
OCE1209988,30634,OCESN014056F0500518064,"14056",0,,
OCE1209988,20488,OCESN014050F0500518052,"14050",0,,
OCE1209988,30635,OCESN014062F0100118081,"14062",0,,
OCE1209988,30636,OCESN014044F0100118019,"14044",0,,
OCE1209988,20634,OCESN014056F0700718062,"14056",0,,
OCE1209988,16222,OCESN014050F0600618054,"14050",0,,
OCE1209988,30637,OCESN014060F0200218075,"14060",0,,
OCE1209988,20705,OCESN014048F0100118040,"14048",0,,
OCE1209988,30638,OCESN014052F0400418056,"14052",0,,
OCE1209988,30639,OCESN014048F1301318044,"14048",0,,
OCE1209988,20707,OCESN014048F2702718045,"14048",0,,
OCE1209988,30640,OCESN014038F0900918003,"14038",0,,
OCE1209988,30641,OCESN014038F0200218004,"14038",0,,
OCE1209988,30642,OCESN014068F0100118099,"14068",0,,
OCE1209988,30643,OCESN014064F0400418087,"14064",0,,
